date,inn,count,outs,trackmanPitchUID,TrackmanGameID,playGuid,TeamId,GameID,ContactY,ContactX,CThrowDownLineDist,ContactZ,PickAttBase,SBA2,SBA3,CTimeToBase,CThrowBase,CExchTime,CThrowHeight,CThrowSpd,DelivTime,ForwVel,HangTime,BrkY,SB3,SB2,xWOBA,LandAng,ABResult,xSLG,xISO,xAVG,PitchHand,BatterHand,PopTime,PlayDesc,ManOn2nd,ManOn3rd,ManOn1st,PZNorm,PXNorm,Tilt,SpinDir,RelX,RelZ,HorzRelAngle,HorzApprAngle,VertRelAngle,VertApprAngle,IndVertBrk,HRDst,HorzBrk,FBDst,ExitDir,Extension,pitcher,batter,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 1,0-0,1,2dfd6be0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1010-1022,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,FC,-,-,-,R,L,-,,,,1,-0.8220685714285713,1.7825929411764705,7:48,53.8,-28.6,65.8,-3.30,-4.67,-0.09,-8.17,-4.3,-,-7.5,-,-,6.77,Horn,Snell,Slider,Ball,83.2,2261.7,-,-,1.3%
2025-05-20 01:00:00,Bot 1,1-0,1,39ca3430-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1030-1047,730206976,257794396,4.09,0.28,-,2.28,0,,,-,0,-,-,-,-,45.5,0.06s,-,,,.036,38.0,FC,.041,.001,.040,R,L,-,FC3.1X2(36),,,1,-0.5494171428571428,0.5241882352941176,1:45,232.5,-28.1,65.9,-4.12,-1.85,-2.13,-5.63,10.4,7.1,12.4,100.0,70.3,7.03,Horn,Snell,Fastball,Fielder's Choice,96.4,2166.4,51.3,-27.7,97.2%
2025-05-20 01:00:00,Bot 1,0-0,0,b164e810-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-804-813,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,L,-,,,,,-0.7839542857142856,0.5346776470588235,1:55,237.3,-26.9,66.5,-4.09,-1.66,-2.21,-6.10,9.4,-,13.3,-,-,6.96,Horn,Fowler,Fastball,Strike Looking,94.5,2123.1,-,-,93.7%
2025-05-20 01:00:00,Bot 1,0-1,0,bb3b3790-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-819-829,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,L,-,,,,,-0.7443428571428571,-0.5008376470588235,1:58,239.1,-27.1,67.2,-3.38,-0.79,-2.32,-6.03,9.3,-,14.1,-,-,6.89,Horn,Fowler,Fastball,Strike Looking,96.5,2193.6,-,-,94.4%
2025-05-20 01:00:00,Bot 1,0-2,0,c5484e80-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-837-849,730206976,257794396,0.29,-0.13,-,1.84,0,,,-,0,-,-,-,-,102.3,0.43s,-,,,.402,-8.0,IP_OUT,.460,.012,.449,R,L,-,63/G,,,,-0.6717828571428571,-0.23514352941176472,2:03,241.4,-28.4,65.3,-3.83,-0.98,-2.05,-5.81,9.5,61.0,15.7,140.9,-5.6,6.82,Horn,Fowler,Fastball,Ground Out,96.0,2196.9,102.3,0.9,97.6%
2025-05-20 01:00:00,Bot 1,0-0,2,55ad7c70-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1075-1088,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,1,-0.4168685714285714,2.2278776470588233,1:36,228.2,-27.3,65.9,-5.41,-3.05,-2.15,-5.39,12.7,-,13.0,-,-,6.98,Horn,Bonomolo Jr.,Fastball,Ball,96.6,2140.5,-,-,0.0%
2025-05-20 01:00:00,Bot 1,1-0,2,613e7440-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1098-1108,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,1,-0.5105142857142856,-1.9310541176470588,7:33,46.5,-28.3,65.0,-0.71,-1.46,0.27,-7.84,-2.5,-,-4.1,-,-,6.68,Horn,Bonomolo Jr.,Slider,Ball,81.8,2081.6,-,-,0.7%
2025-05-20 01:00:00,Bot 1,2-0,2,6f70cae0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1117-1132,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,1,-1.360377142857143,2.768145882352941,1:41,230.7,-27.1,66.3,-5.87,-3.39,-3.02,-6.38,12.2,-,13.6,-,-,7.04,Horn,Bonomolo Jr.,Fastball,Ball,95.8,2203.2,-,-,0.0%
2025-05-20 01:00:00,Bot 1,3-0,2,7d3b10e0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1146-1164,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,.697,-,BB,-,-,-,R,R,-,W.1-2,,,1,-1.4075314285714284,1.5878258823529412,1:17,218.4,-26.5,66.0,-4.63,-2.69,-3.25,-6.18,14.4,-,10.6,-,-,6.96,Horn,Bonomolo Jr.,Fastball,Walk,96.1,2225.5,-,-,7.2%
2025-05-20 01:00:00,Bot 2,0-0,1,71e9f650-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1804-1820,730206976,257794396,1.07,-0.73,-,2.28,0,,,-,0,-,-,-,-,66.7,5.25s,-,,,.008,8.7,IP_OUT,.011,.003,.008,R,R,-,8/F,,,1,-0.2164685714285715,-1.051355294117647,7:39,49.6,-28.1,65.1,-1.28,-2.22,0.36,-7.38,-3.1,292.4,-5.1,292.4,-0.7,6.87,Horn,Staton,Slider,Fly Out,84.1,2221.0,87.4,40.3,90.0%
