date,inn,count,outs,PitchHand,BatterHand,Pitcher,Batter,VertApprAngle,Tilt,SpinDir,PZ,PX,ManOn3rd,ManOn2nd,ManOn1st,IndVertBrk,HorzBrk,HorzApprAngle,FBDst,Extension,ExitDir,ABResult,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 1,2-0,2,R,R,S. Horn,R. Bonomolo Jr.,-6.38,1:41,230.7,1.30967,1.96077,,,1,12.2,13.6,-3.39,-,7.04,-,BB,Fastball,Ball,95.8,2203.2,-,-,0.0%
2025-05-20 01:00:00,Bot 1,3-0,2,R,R,S. Horn,R. Bonomolo Jr.,-6.18,1:17,218.4,1.26841,1.12471,,,1,14.4,10.6,-2.69,-,6.96,-,BB,Fastball,Walk,96.1,2225.5,-,-,7.2%
2025-05-20 01:00:00,Bot 1,0-0,2,R,L,S. Horn,W. Hodo,-6.62,8:09,64.7,2.75407,0.6359,,1,1,-0.8,-4.3,-3.84,-,6.85,-,K,Slider,Strike Looking,84.8,2130.3,-,-,92.4%
2025-05-20 01:00:00,Bot 1,0-1,2,R,L,S. Horn,W. Hodo,-7.16,8:38,79.1,2.2419,0.64986,,1,1,0.1,-6.0,-3.72,-,6.79,-,K,Slider,Foul,84.8,2165.0,-,-,91.4%
2025-05-20 01:00:00,Bot 1,0-2,2,R,L,S. Horn,W. Hodo,-6.28,1:48,234.1,1.34207,0.69428,,1,1,11.3,14.3,-1.85,-,7.06,-,K,Fastball,Ball,97.3,2299.5,-,-,1.7%
2025-05-20 01:00:00,Bot 1,1-2,2,R,L,S. Horn,W. Hodo,-5.74,1:20,220.2,1.66097,-0.44287,,1,1,16.0,12.7,-1.04,-,6.87,-,K,Fastball,Strikeout (Looking),96.5,2282.1,-,-,79.0%
2025-05-20 01:00:00,Top 2,0-0,0,R,R,T. Fay,T. Macon,-6.82,9:20,100.0,2.79532,0.08383,,,,3.7,-13.7,-4.16,-,6.54,-,IP_OUT,Slider,Strike Looking,78.8,2578.3,-,-,98.7%
2025-05-20 01:00:00,Top 2,0-1,0,R,R,T. Fay,T. Macon,-6.12,2:16,248.0,2.40089,0.48267,,,,7.2,15.7,-1.49,112.0,6.65,-,IP_OUT,Sinker,Ground Out,92.8,2473.4,-,-,97.7%
2025-05-20 01:00:00,Top 2,0-0,1,R,R,T. Fay,K. Knutson,-6.42,2:13,246.4,2.18098,0.60608,,,,8.8,17.5,-1.32,-,6.70,-,IP_OUT,Sinker,Strike Looking,91.7,2432.0,-,-,97.5%
2025-05-20 01:00:00,Top 2,0-1,1,R,R,T. Fay,K. Knutson,-9.60,8:37,78.7,0.7223,1.21183,,,,-2.2,-18.0,-5.79,-,6.43,-,IP_OUT,Slider,Ball,80.1,2664.0,-,-,0.0%
2025-05-20 01:00:00,Top 2,1-1,1,R,R,T. Fay,K. Knutson,-5.64,2:18,249.1,2.75269,1.4678,,,,6.9,15.9,-2.67,-,6.78,-,IP_OUT,Sinker,Ball,93.8,2453.3,-,-,0.0%
2025-05-20 01:00:00,Top 2,2-1,1,R,R,T. Fay,K. Knutson,-8.15,8:27,73.7,1.95907,-0.33217,,,,-3.0,-15.1,-3.89,286.0,6.20,-,IP_OUT,Slider,Fly Out,80.8,2689.6,-,-,95.8%
2025-05-20 01:00:00,Top 2,0-0,2,R,L,T. Fay,K. Peer,-4.74,1:18,219.1,3.03765,0.32976,,,,15.4,11.7,-1.74,278.7,6.83,-9.6,S,Fastball,Single on a Line Drive,93.9,2553.4,94.6,17.3,96.3%
2025-05-20 01:00:00,Top 2,0-0,2,R,L,T. Fay,C. Patterson,-7.80,8:34,77.0,2.03524,0.79761,,,1,-1.0,-9.6,-4.77,120.9,6.67,-22.2,IP_OUT,Slider,Ground Out,80.7,2813.8,68.3,4.6,76.2%
2025-05-20 01:00:00,Bot 2,0-0,0,R,R,S. Horn,J. Torres,-3.25,12:56,207.9,3.96722,1.72399,,,,19.5,9.8,-3.45,-,6.96,-,IP_OUT,Fastball,Ball,95.2,2341.9,-,-,0.0%
2025-05-20 01:00:00,Bot 2,1-0,0,R,R,S. Horn,J. Torres,-9.42,7:26,43.2,1.11933,0.54664,,,,-7.9,-8.5,-3.83,-,6.41,-,IP_OUT,Slider,Strike Swinging,82.3,2213.5,-,-,1.4%
2025-05-20 01:00:00,Bot 2,1-1,0,R,R,S. Horn,J. Torres,-7.98,7:59,59.7,1.84986,0.73714,,,,-3.0,-7.2,-4.13,119.4,6.75,-10.9,IP_OUT,Slider,Ground Out,83.4,2191.7,67.6,-14.3,84.6%
2025-05-20 01:00:00,Bot 2,0-0,1,R,L,S. Horn,B. Neal,-7.06,8:25,72.4,2.46408,0.8259,,,,-1.7,-9.0,-4.34,-,6.79,-,S,Slider,Strike Looking,83.7,2231.6,-,-,81.4%
2025-05-20 01:00:00,Bot 2,0-1,1,R,L,S. Horn,B. Neal,-5.49,1:24,221.9,1.66533,0.03073,,,,16.3,13.8,-1.37,-,6.83,-,S,Fastball,Ball,97.0,2290.0,-,-,79.9%
2025-05-20 01:00:00,Bot 2,1-1,1,R,L,S. Horn,B. Neal,-5.36,1:57,238.6,2.36958,-0.23389,,,,8.9,13.1,-1.24,-,6.91,-,S,Fastball,Strike Looking,95.3,2245.8,-,-,98.9%
2025-05-20 01:00:00,Bot 2,1-2,1,R,L,S. Horn,B. Neal,-9.66,8:18,69.0,0.22829,0.00917,,,,-3.1,-10.9,-3.53,-,6.74,-,S,Slider,Ball,83.9,2204.0,-,-,0.0%
